Case Created On,Status,Agent,Title,Origin,Is Escalated,Subject,CSAT Label,Resolution Minutes,Severity,Is SLA Violation,CSAT,SLA Compliance Goal,Resolution Minutes Goal,CSAT Goal,Escalations Goal,Minutes to First Contact,Activities,Topic,CaseSeq,SystemUserSeq,AccountSeq,ProductSeq
2/26/2021,Closed,Molly Clark,Vision-oriented system-worthy product,SMS,FALSE,Account Reset,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Account Reset,5969,1,1076,3
2/26/2021,Closed,Spencer Low,Stand-alone systemic contingency,SMS,FALSE,Payment Inquiry,5-Very Satisfied,80,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Payment Inquiry,5971,7,1082,10
2/24/2021,Closed,Eric Gruber,Expanded disintermediate synergy,Phone,FALSE,Payment Inquiry,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Desktops | Payment Inquiry,6094,2,1162,6
2/23/2021,Closed,Molly Clark,Object-based directional knowledge base,Phone,FALSE,Account Reset,5-Very Satisfied,75,High,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Account Reset,6166,1,1006,8
2/23/2021,Closed,Anne Weiler,Programmable bi-directional access,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,6192,12,1065,10
2/18/2021,Closed,Sanjay Shah,Distributed high-level focus group,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,6434,8,1108,9
2/17/2021,Closed,Molly Clark,Digitized dynamic open architecture,Phone,FALSE,Payment Inquiry,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Payment Inquiry,6497,1,1053,8
2/16/2021,Closed,Sanjay Shah,Public-key solution-oriented project,Phone,FALSE,Login Question,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,6566,8,1108,10
2/16/2021,Closed,Eric Gruber,Multi-layered object-oriented model,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,6583,2,1015,9
2/12/2021,Closed,Eric Gruber,Vision-oriented motivating superstructure,Phone,FALSE,Account Reset,5-Very Satisfied,61,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Account Reset,6734,2,1074,8
2/12/2021,Closed,Anne Weiler,Cross-platform dedicated encoding,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,6760,12,1126,10
2/12/2021,Closed,Sanjay Shah,Grass-roots needs-based task-force,SMS,FALSE,Login Question,5-Very Satisfied,80,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,6790,8,1257,9
2/11/2021,Closed,Anne Weiler,User-friendly asymmetric software,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,6834,12,1189,4
2/9/2021,Closed,Anne Weiler,Fully-configurable empowering software,SMS,FALSE,Account Reset,5-Very Satisfied,80,Normal,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Account Reset,6977,12,1167,3
2/9/2021,Closed,Anne Weiler,Face to face static collaboration,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,6989,12,1050,4
2/8/2021,Closed,Sanjay Shah,Multi-layered fault-tolerant model,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Desktops | Login Question,7073,8,1194,6
2/5/2021,Closed,Eric Gruber,Enterprise-wide local encryption,SMS,FALSE,Payment Inquiry,5-Very Satisfied,80,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Payment Inquiry,7153,2,1041,9
2/5/2021,Closed,Molly Clark,Integrated grid-enabled collaboration,Phone,FALSE,Login Question,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,7158,1,1008,8
2/5/2021,Closed,Sanjay Shah,Polarised object-oriented synergy,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,7182,8,1108,9
2/3/2021,Closed,Anne Weiler,Multi-layered web-enabled focus group,SMS,FALSE,Login Question,5-Very Satisfied,62,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,7306,12,1090,8
2/2/2021,Closed,Eric Gruber,Fully-configurable intermediate circuit,Phone,FALSE,Shipping Question,5-Very Satisfied,77,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Shipping Question,7402,2,1048,10
1/29/2021,Closed,Julian Isla,Face to face motivating complexity,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,7574,4,1038,4
1/26/2021,Closed,Anne Weiler,Re-contextualized 24/7 conglomeration,Phone,FALSE,Shipping Question,5-Very Satisfied,76,High,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Shipping Question,7758,12,1156,10
1/26/2021,Closed,Spencer Low,Right-sized context-sensitive firmware,Phone,FALSE,Account Reset,5-Very Satisfied,78,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Account Reset,7760,7,1002,3
1/22/2021,Closed,Anne Weiler,Balanced homogeneous service-desk,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,7933,12,1046,10
1/18/2021,Closed,Anne Weiler,Horizontal transitional moratorium,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,8231,12,1191,4
1/15/2021,Closed,Sanjay Shah,Decentralized well-modulated portal,Phone,FALSE,Login Question,5-Very Satisfied,80,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,8330,8,1257,9
1/15/2021,Closed,Spencer Low,User-friendly object-oriented core,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,8334,7,1024,10
1/14/2021,Closed,Anne Weiler,Customizable directional encryption,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,8438,12,1152,10
1/14/2021,Closed,Eric Gruber,Stand-alone even-keeled projection,Phone,FALSE,Login Question,5-Very Satisfied,75,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,8451,2,1069,10
1/13/2021,Closed,Spencer Low,Function-based asymmetric flexibility,Phone,FALSE,Shipping Question,5-Very Satisfied,78,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Shipping Question,8475,7,1092,10
1/13/2021,Closed,Anne Weiler,Business-focused intermediate leverage,SMS,FALSE,Login Question,5-Very Satisfied,62,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,8480,12,1065,8
1/13/2021,Closed,Anne Weiler,Open-source neutral conglomeration,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,8486,12,1163,10
1/12/2021,Closed,Sanjay Shah,Cross-platform intangible ability,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,8577,8,1231,9
1/8/2021,Closed,Molly Clark,Total responsive process improvement,SMS,FALSE,Login Question,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,8766,1,1291,8
1/7/2021,Closed,Eric Gruber,User-friendly high-level analyzer,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,8849,2,1015,9
1/1/2021,Closed,Eric Gruber,Fundamental next generation success,SMS,FALSE,Login Question,5-Very Satisfied,81,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,9149,2,1204,10
12/31/2020,Closed,Julian Isla,Versatile tangible infrastructure,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,9240,4,1001,10
12/31/2020,Closed,Anne Weiler,Total solution-oriented implementation,Phone,FALSE,Account Reset,5-Very Satisfied,76,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Account Reset,9254,12,1157,3
12/29/2020,Closed,Julian Isla,Optional 5th generation definition,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,9358,4,1216,10
12/28/2020,Closed,Spencer Low,Right-sized uniform open architecture,Phone,FALSE,Login Question,5-Very Satisfied,66,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,9472,7,1007,8
12/23/2020,Closed,Molly Clark,De-engineered eco-centric methodology,Phone,FALSE,Login Question,5-Very Satisfied,67,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,9684,1,1025,8
12/21/2020,Closed,Eric Gruber,Decentralized well-modulated portal,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,9861,2,1273,9
12/21/2020,Closed,Anne Weiler,User-friendly object-oriented core,Phone,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,9865,12,1176,10
12/18/2020,Closed,Spencer Low,User-friendly value-added orchestration,Phone,FALSE,Login Question,5-Very Satisfied,62,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,9918,7,1024,8
12/18/2020,Closed,Molly Clark,Customizable directional encryption,SMS,FALSE,Account Reset,5-Very Satisfied,113,Normal,TRUE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Account Reset,9969,1,1071,10
12/17/2020,Closed,Molly Clark,Decentralized upward-trending migration,Phone,FALSE,Account Reset,5-Very Satisfied,71,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Account Reset,10004,1,1235,8
12/16/2020,Closed,Anne Weiler,Distributed logistical capability,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,10106,12,1166,10
12/16/2020,Closed,Julian Isla,Reactive full-range data-warehouse,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,10111,4,1216,4
12/15/2020,Closed,Julian Isla,Expanded system-worthy standardization,SMS,FALSE,Shipping Question,5-Very Satisfied,82,High,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Shipping Question,10146,4,1035,10
12/15/2020,Closed,Julian Isla,Customizable fresh-thinking algorithm,SMS,FALSE,Login Question,5-Very Satisfied,64,Normal,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,10162,4,1278,8
12/14/2020,Closed,Spencer Low,Configurable analyzing middleware,SMS,FALSE,Login Question,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,10226,7,1024,10
12/14/2020,Closed,Sanjay Shah,Realigned tertiary system engine,Phone,FALSE,Payment Inquiry,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Payment Inquiry,10231,8,1194,9
12/7/2020,Closed,Eric Gruber,Optional systematic local area network,Phone,FALSE,Shipping Question,5-Very Satisfied,73,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Shipping Question,10668,2,1026,10
12/3/2020,Closed,Anne Weiler,Front-line heuristic focus group,Phone,FALSE,Payment Inquiry,5-Very Satisfied,82,Normal,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Payment Inquiry,10775,12,1183,10
5/25/2021,Closed,Sanjay Shah,Proactive contextually-based frame,Chat,FALSE,Login Question,5-Very Satisfied,86,High,TRUE,5,90%,120,3.75,20%,6,1,Desktops | Login Question,1019,8,1149,6
5/24/2021,Closed,Spencer Low,Diverse static artificial intelligence,Chat,FALSE,Shipping Question,5-Very Satisfied,80,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,1036,7,1002,4
5/20/2021,Closed,Spencer Low,Synergistic modular local area network,Chat,FALSE,Shipping Question,5-Very Satisfied,82,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,1207,7,1007,4
5/20/2021,Closed,Alan Steiner,Re-contextualized 5th generation analyzer,Chat,FALSE,Shipping Question,5-Very Satisfied,63,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Shipping Question,1262,10,1277,3
5/19/2021,Closed,Greg Winston,Profit-focused explicit Graphic Interface,Chat,FALSE,Shipping Question,5-Very Satisfied,67,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Shipping Question,1302,13,1012,3
5/18/2021,Closed,Julian Isla,Right-sized incremental secured line,Chat,FALSE,Account Reset,5-Very Satisfied,112,High,TRUE,5,90%,120,3.75,20%,6,1,Webcams | Account Reset,1371,4,1087,4
5/14/2021,Closed,Eric Gruber,Customer-focused incremental framework,Chat,FALSE,Shipping Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,1574,2,1048,4
5/13/2021,Closed,Sanjay Shah,Distributed solution-oriented website,Chat,FALSE,Account Reset,5-Very Satisfied,107,High,TRUE,5,90%,120,3.75,20%,6,1,Design app | Account Reset,1619,8,1080,2
4/30/2021,Closed,Sanjay Shah,Down-sized empowering system engine,Chat,FALSE,Login Question,5-Very Satisfied,86,High,TRUE,5,90%,120,3.75,20%,6,1,Desktops | Login Question,2345,8,1149,6
4/30/2021,Closed,Spencer Low,Quality-focused holistic capability,Chat,FALSE,Account Reset,5-Very Satisfied,91,High,TRUE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Account Reset,2366,7,1092,9
4/29/2021,Closed,Anne Weiler,Distributed fault-tolerant synergy,Chat,FALSE,Login Question,5-Very Satisfied,87,High,TRUE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Login Question,2454,12,1201,9
4/28/2021,Closed,Sanjay Shah,Multi-tiered attitude-oriented benchmark,Chat,FALSE,Login Question,5-Very Satisfied,57,High,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | Login Question,2478,8,1299,1
4/28/2021,Closed,Spencer Low,Down-sized solution-oriented initiative,Chat,FALSE,Shipping Question,5-Very Satisfied,68,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Shipping Question,2489,7,1185,3
4/28/2021,Closed,Spencer Low,Decentralized static info-mediaries,Chat,FALSE,Login Question,5-Very Satisfied,86,High,TRUE,5,90%,120,3.75,20%,6,1,Design app | Login Question,2527,7,1007,2
4/28/2021,Closed,Alan Steiner,Face to face regional conglomeration,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Login Question,2532,10,1222,2
4/28/2021,Closed,Eric Gruber,Function-based mission-critical database,Chat,FALSE,Shipping Question,5-Very Satisfied,65,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Shipping Question,2535,2,1023,3
4/27/2021,Closed,Alan Steiner,Enterprise-wide leading edge interface,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,2557,10,1228,2
4/27/2021,Closed,Greg Winston,Pre-emptive solution-oriented solution,Chat,FALSE,Shipping Question,5-Very Satisfied,71,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,2565,13,1010,2
4/27/2021,Closed,Eric Gruber,User-friendly heuristic productivity,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,2576,2,1264,4
4/27/2021,Closed,Julian Isla,Quality-focused radical secured line,Chat,FALSE,Account Reset,5-Very Satisfied,108,High,TRUE,5,90%,120,3.75,20%,6,1,Design app | Account Reset,2591,4,1001,2
4/27/2021,Closed,Anne Weiler,Implemented object-oriented hierarchy,Chat,FALSE,Shipping Question,5-Very Satisfied,78,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,2619,12,1050,4
4/26/2021,Closed,Alan Steiner,Business-focused executive framework,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Login Question,2637,10,1246,10
4/23/2021,Closed,Greg Winston,Vision-oriented foreground time-frame,Chat,FALSE,Account Reset,5-Very Satisfied,105,High,TRUE,5,90%,120,3.75,20%,6,1,Webcams | Account Reset,2731,13,1016,4
4/22/2021,Closed,Spencer Low,Vision-oriented bottom-line projection,Chat,FALSE,Shipping Question,5-Very Satisfied,82,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,2856,7,1007,4
4/21/2021,Closed,Eric Gruber,User-centric user-facing flexibility,Chat,FALSE,Account Reset,5-Very Satisfied,86,High,TRUE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Account Reset,2897,2,1265,9
4/21/2021,Closed,Eric Gruber,Team-oriented directional orchestration,Chat,FALSE,Login Question,5-Very Satisfied,61,High,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | Login Question,2912,2,1204,1
4/20/2021,Closed,Spencer Low,Right-sized context-sensitive software,Chat,FALSE,Shipping Question,5-Very Satisfied,82,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,2993,7,1007,4
4/16/2021,Closed,Eric Gruber,Multi-channelled zero tolerance project,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Shipping Question,3146,2,1273,10
3/30/2021,Closed,Eric Gruber,Object-based human-resource architecture,Chat,FALSE,Login Question,5-Very Satisfied,59,High,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | Login Question,4182,2,1023,1
3/30/2021,Closed,Eric Gruber,Streamlined user-facing flexibility,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Login Question,4189,2,1015,2
3/30/2021,Closed,Eric Gruber,Implemented system-worthy framework,Chat,FALSE,Login Question,5-Very Satisfied,81,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Login Question,4215,2,1204,2
3/29/2021,Closed,Eric Gruber,User-friendly even-keeled initiative,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,4252,2,1265,4
3/29/2021,Closed,Spencer Low,Upgradable attitude-oriented methodology,Chat,FALSE,Account Reset,5-Very Satisfied,66,High,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Account Reset,4278,7,1092,8
3/29/2021,Closed,Anne Weiler,Devolved object-oriented moratorium,Chat,FALSE,Login Question,5-Very Satisfied,82,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,4290,12,1163,4
3/25/2021,Closed,Eric Gruber,Business-focused impactful workforce,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Login Question,4459,2,1203,2
3/25/2021,Closed,Anne Weiler,Digitized dynamic open architecture,Chat,FALSE,Login Question,5-Very Satisfied,86,High,TRUE,5,90%,120,3.75,20%,6,1,Design app | Login Question,4461,12,1199,2
3/24/2021,Closed,Molly Clark,Multi-tiered zero tolerance groupware,Chat,FALSE,Shipping Question,5-Very Satisfied,83,High,TRUE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Shipping Question,4531,1,1103,10
3/17/2021,Closed,Sanjay Shah,Profit-focused encompassing help-desk,Chat,FALSE,Shipping Question,5-Very Satisfied,78,High,FALSE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Shipping Question,4920,8,1146,9
2/26/2021,Closed,Spencer Low,Function-based non-volatile paradigm,Chat,FALSE,Account Reset,5-Very Satisfied,108,High,TRUE,5,90%,120,3.75,20%,6,1,Webcams | Account Reset,5983,7,1175,4
2/24/2021,Closed,Alan Steiner,Persistent system-worthy data-warehouse,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,6080,10,1058,2
2/24/2021,Closed,Anne Weiler,Object-based 5th generation groupware,Chat,FALSE,Shipping Question,5-Very Satisfied,78,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,6098,12,1055,4
2/23/2021,Closed,Anne Weiler,Cross-platform clear-thinking service-desk,Chat,FALSE,Shipping Question,5-Very Satisfied,72,High,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Shipping Question,6170,12,1055,8
2/23/2021,Closed,Greg Winston,Integrated asymmetric infrastructure,Chat,FALSE,Login Question,5-Very Satisfied,81,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Login Question,6220,13,1028,2
2/23/2021,Closed,Eric Gruber,Right-sized next generation moderator,Chat,FALSE,Account Reset,5-Very Satisfied,105,High,TRUE,5,90%,120,3.75,20%,6,1,Webcams | Account Reset,6221,2,1023,4
1/29/2021,Closed,Eric Gruber,Ameliorated 5th generation strategy,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,7579,2,1265,4
1/28/2021,Closed,Anne Weiler,Seamless systematic customer loyalty,Chat,FALSE,Account Reset,5-Very Satisfied,108,High,TRUE,5,90%,120,3.75,20%,6,1,Design app | Account Reset,7648,12,1183,2
1/27/2021,Closed,Molly Clark,Expanded regional local area network,Chat,FALSE,Login Question,5-Very Satisfied,99,High,TRUE,5,90%,120,3.75,20%,6,1,Laser Printers | Login Question,7686,1,1006,3
1/27/2021,Closed,Alan Steiner,Function-based non-volatile paradigm,Chat,FALSE,Login Question,5-Very Satisfied,81,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,7728,10,1260,4
1/26/2021,Closed,Anne Weiler,Re-engineered object-oriented initiative,Chat,FALSE,Account Reset,5-Very Satisfied,68,High,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | Account Reset,7807,12,1179,1
1/25/2021,Closed,Molly Clark,Synchronised multimedia info-mediaries,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Shipping Question,7880,1,1051,3
1/22/2021,Closed,Eric Gruber,Expanded zero administration hardware,Chat,FALSE,Account Reset,5-Very Satisfied,107,High,TRUE,5,90%,120,3.75,20%,6,1,Design app | Account Reset,7969,2,1204,2
1/21/2021,Closed,Anne Weiler,User-friendly mission-critical approach,Chat,FALSE,Shipping Question,5-Very Satisfied,70,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Shipping Question,8029,12,1179,3
1/21/2021,Closed,Eric Gruber,Cross-platform non-volatile projection,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,8061,2,1015,2
1/20/2021,Closed,Eric Gruber,Persistent attitude-oriented encryption,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,8091,2,1203,4
1/19/2021,Closed,Alan Steiner,User-centric background instruction set,Chat,FALSE,Shipping Question,5-Very Satisfied,75,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,8211,10,1219,2
12/31/2020,Closed,Anne Weiler,Distributed solution-oriented website,Chat,FALSE,Shipping Question,5-Very Satisfied,78,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,9236,12,1152,2
12/30/2020,Closed,Greg Winston,Function-based non-volatile paradigm,Chat,FALSE,Login Question,5-Very Satisfied,75,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Login Question,9292,13,1044,4
12/29/2020,Closed,Sanjay Shah,Organized human-resource secured line,Chat,FALSE,Account Reset,5-Very Satisfied,105,High,TRUE,5,90%,120,3.75,20%,6,1,Design app | Account Reset,9353,8,1259,2
12/29/2020,Closed,Eric Gruber,Progressive heuristic data-warehouse,Chat,FALSE,Login Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Login Question,9359,2,1121,2
12/29/2020,Closed,Spencer Low,Fully-configurable empowering software,Chat,FALSE,Account Reset,5-Very Satisfied,76,High,FALSE,5,90%,120,3.75,20%,6,1,Laser Printers | Account Reset,9382,7,1244,3
12/29/2020,Closed,Greg Winston,Business-focused directional time-frame,Chat,FALSE,Shipping Question,5-Very Satisfied,77,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,9390,13,1012,2
12/28/2020,Closed,Julian Isla,Horizontal incremental internet solution,Chat,FALSE,Account Reset,5-Very Satisfied,66,High,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | Account Reset,9481,4,1001,1
12/25/2020,Closed,Sanjay Shah,Grass-roots fresh-thinking website,Chat,FALSE,Login Question,5-Very Satisfied,81,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Login Question,9517,8,1149,2
12/25/2020,Closed,Alan Steiner,Re-engineered full-range standardization,Chat,FALSE,Login Question,5-Very Satisfied,57,High,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Login Question,9568,10,1279,8
12/24/2020,Closed,Alan Steiner,Cross-platform non-volatile projection,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,9592,10,1289,2
12/24/2020,Closed,Alan Steiner,Persistent attitude-oriented encryption,Chat,FALSE,Shipping Question,5-Very Satisfied,73,High,FALSE,5,90%,120,3.75,20%,6,1,Webcams | Shipping Question,9622,10,1279,4
12/22/2020,Closed,Julian Isla,Cross-platform transitional groupware,Chat,FALSE,Shipping Question,5-Very Satisfied,80,High,FALSE,5,90%,120,3.75,20%,6,1,Design app | Shipping Question,9780,4,1221,2
12/18/2020,Closed,Eric Gruber,Integrated context-sensitive product,Chat,FALSE,Account Reset,5-Very Satisfied,88,High,TRUE,5,90%,120,3.75,20%,6,1,Ergonomic Seating | Account Reset,9917,2,1023,9
12/18/2020,Closed,Alan Steiner,Cross-platform clear-thinking service-desk,Chat,FALSE,Shipping Question,5-Very Satisfied,67,High,FALSE,5,90%,120,3.75,20%,6,1,All-in-One | Shipping Question,9930,10,1095,8
5/25/2021,Open,Molly Clark,Self-enabling zero defect customer loyalty,Chat,FALSE,Returns,5-Very Satisfied,61,High,FALSE,5,90%,120,3.75,20%,6,1,Mobile app | Returns,1004,1,1004,1
4/5/2021,Closed,Anne Weiler,Profit-focused bi-directional budgetary management,Chat,FALSE,Returns,5-Very Satisfied,83,High,TRUE,5,90%,120,3.75,20%,6,1,Desktops | Returns,3893,12,1124,6
3/15/2021,Closed,Molly Clark,User-friendly systemic open architecture,Chat,FALSE,Returns,5-Very Satisfied,83,High,TRUE,5,90%,120,3.75,20%,6,1,Webcams | Returns,5046,1,1006,4
3/11/2021,Closed,Molly Clark,Profit-focused clear-thinking utilisation,Chat,FALSE,Returns,5-Very Satisfied,83,High,TRUE,5,90%,120,3.75,20%,6,1,Stand-up Desks | Returns,5218,1,1182,10
1/27/2021,Closed,Molly Clark,Quality-focused 4th generation utilisation,Chat,FALSE,Returns,5-Very Satisfied,83,High,TRUE,5,90%,120,3.75,20%,6,1,Webcams | Returns,7723,1,1182,4
